trial,original_ns,tco_ns,method2_ns,iterative_ns
126,10238079,10515125,8786963,7412778
127,9859623,10045986,8948273,7423664
128,9155524,9216464,8253030,6724200
129,9267040,9386473,8503615,7044270
130,9685395,9829934,8422205,7016768
131,9326470,9432882,8512626,6963015
132,9335221,9477676,8345587,6898637
133,9398505,9554347,8634820,7207195
134,9726387,9934210,8796235,7325586
135,10021662,10197088,8518252,7107293
136,10046507,10331209,8655758,7244905
137,9380275,9502833,8375952,7006142
138,9245216,9356524,8379755,6850301
139,9319335,9473352,8692740,7164640
140,10943898,9737481,8627632,7013330
141,10011662,13358396,8940044,7471323
142,9318293,9504031,8405902,6976297
143,9459341,9655029,8534763,7131556
144,9198205,9481291,8259305,6853091
145,9385870,9518689,8563591,7020965
146,9534054,9687448,8641147,7143106
147,9727709,10017307,8703858,7238527
148,9548065,9795421,8761256,7377752
149,9750262,9909749,8631042,7117948
150,9393474,9581296,8554267,7066279
151,9451237,9565046,8380457,6932887
152,9964179,10238880,8810113,7305509
153,9104398,9208987,8544111,7013256
154,9501293,9713699,9107054,7111698
155,9950585,10302217,8886836,7414889
156,9181642,9255707,8436293,6999088
157,9400558,9458895,8272379,6878613
158,9316543,9414517,8328163,6815121
159,9470145,9564317,8318162,6870957
160,10370501,9840997,8624532,7229932
161,10063507,10189712,8623385,7233787
162,9650622,9907510,8930015,7438328
163,9405090,9619631,8741412,7132824
164,9634030,9831122,8425850,7043653
165,9973941,10155721,8815503,7374657
166,9474804,9534963,8463300,7043704
167,9139111,9225626,8196986,6808694
168,10351615,10684390,8785607,7438671
169,9604445,9814976,8641225,7255537
170,9650646,9796173,8646694,7229129
171,9157758,9316932,8547158,6988702
172,9583143,9769766,8586795,7115114
173,10088113,10366147,8835192,7414503
174,9110777,9233283,8439914,6921824
175,9012075,9202708,8418350,6947294
176,9996338,10136553,8646850,7287726
177,9389071,9524129,8494447,6970524
178,9369226,9452147,8490958,6990994
179,9370685,9643718,8677841,7305903
180,9361518,9465532,8499082,6971358
181,9922949,9784297,8594973,7114384
182,9985817,10420680,9316203,7933016
183,9387352,9483971,8450005,6975870
184,9957923,10197100,8980485,7478756
185,9694266,9843647,8565989,7101291
186,9288207,9525040,8771935,7270621
187,9715829,9888493,8449578,6959149
188,9282217,9455819,8482756,7016756
189,9807552,9973965,8609271,7232234
190,10962966,11171829,9027831,7635324
191,9218257,9322792,8214567,6780600
192,9531551,9683224,8573385,7194160
193,9413160,9561031,8437702,6957795
194,9279717,9506289,8878814,7318488
195,9722288,9865159,8368689,6990922
196,9236434,9392326,8428431,6972327
197,9530144,9773175,8844126,7316821
198,9052364,9179869,8235662,6791955
199,9541916,9710360,8503642,8384522
200,9252789,9327531,8468901,6949931
201,9938703,10198714,8977881,7544591
202,10252467,10524405,8990017,7522976
203,9909640,10150474,8713368,7318572
204,9188959,9255577,8080426,6661047
205,9788150,10143425,8934782,7561187
206,9269483,9453136,8500807,7074188
207,10239730,10517450,8861447,7501444
208,9147604,9284796,8289080,6897879
209,9854767,10073109,8478462,7105439
210,10104986,10398799,8601748,7206641
211,9060621,9188231,8393355,6892827
212,9068277,9189897,8272465,6777145
213,9482201,9602674,8503932,7017675
214,9516472,9697991,8327988,6944131
215,9935864,10256137,8989837,7569156
216,9601007,9779869,8542110,7107001
217,9250629,9456158,8647897,7139972
218,9564704,9688198,8520131,6960590
219,9310110,9462095,10097016,6846939
220,10554118,10838661,9613299,7516028
221,10023056,10311400,8800924,7433317
222,9825600,10072172,8856446,7392950
223,9682155,9806721,8350728,6996980
224,9054244,9154925,8390366,6866089
225,10507111,10816184,9208261,7629504
226,9572024,9760729,8673397,7185008
227,9626401,9768177,8407345,7015731
228,9463114,9579993,8471983,6931352
