trial,original_ns,tco_ns,method2_ns,iterative_ns
663,1988597,2030322,1726789,1330088
664,2128484,2186637,1702910,1353777
665,2126012,2229549,1830819,1439841
666,1963853,2000165,1725746,1344260
667,2147168,2228481,1818387,1409565
668,2181369,2235850,1774119,1393473
669,2170269,2243458,1798407,1397145
670,2083735,2122808,1760378,1362033
671,2429365,2562926,1821183,1519078
672,2120576,2181561,1716902,1366293
673,2184429,2227281,1712582,1357028
674,2103919,2125723,1738898,1340024
675,2001738,2051683,1755291,1353140
676,1884292,1929281,1771430,1312363
677,2106403,2161569,1756358,1379949
678,2084803,2123743,1764746,1340924
679,2335151,2444017,1902533,1523051
680,2117120,2153745,1739498,1333783
681,2166260,2237661,1742702,1392741
682,2212173,2281966,1744094,1400145
683,2291855,2421132,1837299,1526014
684,2055450,2086915,1740157,1339052
685,2084288,2128952,1697810,1362561
686,2026518,2065723,1710470,1319504
687,2490841,2600715,1819107,1496002
688,2025546,2074339,1763858,1362668
689,2149448,2204373,1720754,1370540
690,2332199,2462329,1843084,1481794
691,1943537,1990326,1711369,1316491
692,2220933,2279338,1806699,1417390
693,1986521,2042010,1742414,1341944
694,2235765,2293078,1775414,1373672
695,2168132,2225889,1804551,1420017
696,2018778,2079103,1768935,1377573
697,2009334,2088739,1799463,1600284
698,2046282,2181260,1863904,1521383
699,1961766,1993926,1738202,1291471
700,2185041,2277526,1775427,1414113
701,2153192,2231481,1762166,1397337
702,2002578,2030466,1769091,1310948
703,2069815,2109283,1762202,1361600
704,2208201,2250405,1737782,1366101
705,1928165,1982070,1744526,1352192
706,2132731,2183876,1766582,1388660
707,2130896,2194161,1806747,1414269
708,2135804,2184584,1750418,1386489
709,2094583,2132384,1753106,1403948
710,2107111,2173748,1747550,1372412
711,2012754,2065579,1738286,1366509
712,2121836,2173581,1757678,1378293
713,2131208,2142044,1786875,1381617
714,2002914,2091427,1804755,1435653
715,2098868,2139584,1755062,1331732
716,2148801,2252506,1770759,1424866
717,2164556,2218905,1728350,1361648
718,2162145,2209881,1773134,1409493
719,2017230,2050134,1708681,1325612
720,2216865,2285134,1747959,1377465
721,2111467,2141708,1732106,1368572
722,1925752,1932161,1713650,1276531
723,2154441,2263378,1815040,1414521
724,1881316,1887833,1693813,1298863
725,2306579,2405808,1819227,1446610
726,2009238,2063311,1738742,1315628
727,2071747,2148308,1733209,1363220
728,2086255,2161520,1751558,1380188
729,2065495,2116375,1705561,1356560
730,1979550,2033155,1753802,1382324
731,2013186,2069851,1768634,1372005
732,2079692,2151248,1746086,1408065
733,2055319,2078791,1750058,1318603
734,2140376,2176293,1695205,1345760
735,2101868,2169813,1768827,1400997
736,1981229,2046318,1836831,1437225
737,2417185,2553542,1844283,1486690
738,2114144,2167317,1775739,1349480
739,2256802,2385048,1905065,1514579
740,2182437,2296138,1867012,1487434
741,2019630,2091979,1768934,1398081
742,2138948,2212881,1827327,1390209
743,2382000,2486761,1840035,1452970
744,2047795,2100295,1719794,1343072
745,2015634,2079235,1797663,1410669
746,2323822,2394708,1775607,1420749
747,2047962,2119663,1798395,1394085
748,2188593,2250933,1733714,1389837
749,2056554,2134400,1766631,1403565
750,2109895,2158652,1742114,1363209
751,2264386,2385468,1829415,1472194
752,2209509,2257834,1792911,1375845
753,2099551,2179665,1752830,1380944
754,2059195,2112716,1758446,1365296
755,2146893,2194197,1728518,1366569
756,2135240,2208801,1804791,1434454
