trial,original_ns,tco_ns,method2_ns,iterative_ns
368,1775214,1142593,1116278,782399
369,1206809,1173284,1168450,822877
370,1148919,1069208,913675,758012
371,998315,1028794,990253,748917
372,932587,994023,976143,718673
373,1034108,1158525,988549,754051
374,1008677,1048729,917072,697268
375,917678,951341,898254,683776
376,986686,1112135,954664,711612
377,1165894,1332332,1368541,826924
378,1094021,1157214,1153264,807872
379,1113563,1293505,1078079,723540
380,971351,1052467,893546,701677
381,1177235,1102743,1142348,821024
382,975686,1145799,975973,711347
383,1009199,1032681,907795,789311
384,1014108,1025737,927486,742411
385,991659,1025237,948167,734860
386,1002927,1035471,958401,713998
387,1045694,1134275,907220,725798
388,1189482,1468336,1301156,750589
389,1001276,1094628,1073319,699984
390,1074586,1093510,1110198,734669
391,977688,1013715,1015482,1123933
392,1274070,1294671,914260,839687
393,1301822,1289331,1213773,859202
394,1149632,1310587,899723,695191
395,1033064,1038463,913226,708013
396,1005908,992841,908094,701197
397,987293,973673,890097,703850
398,999433,1004428,899595,695469
399,1205499,1139760,1679812,956664
400,1128568,1157577,1047259,782026
401,1171825,1114063,1098824,782761
402,1180930,1164722,1113275,833037
403,1077898,956537,899489,708812
404,979668,1014619,920745,699845
405,941809,957932,909798,803145
406,1110485,1075577,1085235,772825
407,943301,942981,914196,677683
408,985611,1008325,924281,697928
409,966473,989433,995611,737831
410,982160,1028187,1151496,799970
411,1151869,1185638,1088782,788565
412,1211984,1223347,1223826,914441
413,1082828,1086652,943801,799236
414,1111880,1082978,1036717,689814
415,1028272,996164,894537,699738
416,980936,965462,931480,707491
417,1001585,1009689,954036,704254
418,1042894,1047452,945665,714712
419,982277,998176,960265,717629
420,943502,952118,1211058,705499
421,942332,931969,920766,915474
422,1842875,1885283,1225541,825678
423,1082147,1040370,1077738,867945
424,1217660,1224699,1195510,824965
425,1279597,1151176,1120133,798661
426,1005631,1078984,969903,752155
427,953236,970041,903940,683008
428,947369,959636,927806,700623
429,952236,963375,924036,700804
430,962725,976516,897998,689408
431,997698,1026557,941692,704275
432,978997,1085129,910128,695393
433,1315132,1671186,1170920,832610
434,1170771,1049858,1118674,799609
435,1128866,1136778,1300451,690313
436,1030189,1058793,893888,679600
437,956016,1127205,1228853,769180
438,1051935,973449,954471,671305
439,932715,933311,976442,688908
440,1384898,997644,933290,709493
441,1001052,1057185,942417,723913
442,976303,979967,887583,680175
