variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,random_desc_runs,5000,8,18,51754,149752
vanilla,random_desc_runs,5000,8,19,52036,161324
vanilla,random_desc_runs,5000,8,20,51937,146412
vanilla,random_desc_runs,5000,8,21,51917,147790
vanilla,random_desc_runs,5000,8,22,51645,146501
vanilla,random_desc_runs,5000,8,23,51850,147757
vanilla,random_desc_runs,5000,8,24,51786,146699
vanilla,random_desc_runs,5000,8,25,51792,146027
vanilla,random_desc_runs,5000,8,26,51725,174372
vanilla,random_desc_runs,5000,8,27,51789,147295
vanilla,random_desc_runs,5000,8,28,51999,156540
vanilla,random_desc_runs,5000,8,29,51728,165898
runs,random_desc_runs,5000,8,0,46854,126046
runs,random_desc_runs,5000,8,1,47621,129308
runs,random_desc_runs,5000,8,2,47666,140825
runs,random_desc_runs,5000,8,3,47812,129704
runs,random_desc_runs,5000,8,4,47422,155417
runs,random_desc_runs,5000,8,5,47768,272347
runs,random_desc_runs,5000,8,6,47789,136692
runs,random_desc_runs,5000,8,7,47449,137629
runs,random_desc_runs,5000,8,8,47261,128074
runs,random_desc_runs,5000,8,9,47352,137089
runs,random_desc_runs,5000,8,10,47700,135193
runs,random_desc_runs,5000,8,11,47425,146710
runs,random_desc_runs,5000,8,12,47626,133695
runs,random_desc_runs,5000,8,13,47614,137894
runs,random_desc_runs,5000,8,14,47650,132361
runs,random_desc_runs,5000,8,15,47371,128471
runs,random_desc_runs,5000,8,16,47438,126541
runs,random_desc_runs,5000,8,17,47665,130135
runs,random_desc_runs,5000,8,18,47672,128868
runs,random_desc_runs,5000,8,19,48074,130531
runs,random_desc_runs,5000,8,20,47930,163241
runs,random_desc_runs,5000,8,21,47976,132967
runs,random_desc_runs,5000,8,22,47616,128591
runs,random_desc_runs,5000,8,23,47876,132725
runs,random_desc_runs,5000,8,24,47872,133870
runs,random_desc_runs,5000,8,25,47505,144980
runs,random_desc_runs,5000,8,26,47629,126983
runs,random_desc_runs,5000,8,27,47635,128229
runs,random_desc_runs,5000,8,28,47842,128459
runs,random_desc_runs,5000,8,29,47663,133078
vanilla,random_mixed_runs,5000,8,0,51710,160629
vanilla,random_mixed_runs,5000,8,1,52098,177503
vanilla,random_mixed_runs,5000,8,2,51558,174119
vanilla,random_mixed_runs,5000,8,3,51669,158888
vanilla,random_mixed_runs,5000,8,4,51701,171761
vanilla,random_mixed_runs,5000,8,5,51441,159494
vanilla,random_mixed_runs,5000,8,6,51825,164145
vanilla,random_mixed_runs,5000,8,7,51943,157037
vanilla,random_mixed_runs,5000,8,8,51912,138411
vanilla,random_mixed_runs,5000,8,9,51925,165909
vanilla,random_mixed_runs,5000,8,10,51892,166029
vanilla,random_mixed_runs,5000,8,11,51688,154590
vanilla,random_mixed_runs,5000,8,12,51749,153477
vanilla,random_mixed_runs,5000,8,13,51916,153874
vanilla,random_mixed_runs,5000,8,14,51640,168388
