variant,pattern,n,max_run_len,iter,comparisons,time_ns
runs,random_desc_runs,5000,64,13,33696,66897
runs,random_desc_runs,5000,64,14,33366,65585
runs,random_desc_runs,5000,64,15,32732,64042
runs,random_desc_runs,5000,64,16,32462,63844
runs,random_desc_runs,5000,64,17,33238,65508
runs,random_desc_runs,5000,64,18,31640,61585
runs,random_desc_runs,5000,64,19,33494,65574
runs,random_desc_runs,5000,64,20,32470,63271
runs,random_desc_runs,5000,64,21,32485,63227
runs,random_desc_runs,5000,64,22,33551,65817
runs,random_desc_runs,5000,64,23,32172,63094
runs,random_desc_runs,5000,64,24,33533,65905
runs,random_desc_runs,5000,64,25,33191,64637
runs,random_desc_runs,5000,64,26,32300,63040
runs,random_desc_runs,5000,64,27,33351,65696
runs,random_desc_runs,5000,64,28,33074,64748
runs,random_desc_runs,5000,64,29,33324,65046
vanilla,random_mixed_runs,5000,64,0,45334,98857
vanilla,random_mixed_runs,5000,64,1,45255,97392
vanilla,random_mixed_runs,5000,64,2,45567,95595
vanilla,random_mixed_runs,5000,64,3,45462,95441
vanilla,random_mixed_runs,5000,64,4,46179,131689
vanilla,random_mixed_runs,5000,64,5,45453,101624
vanilla,random_mixed_runs,5000,64,6,45539,99750
vanilla,random_mixed_runs,5000,64,7,44891,98152
vanilla,random_mixed_runs,5000,64,8,45724,99706
vanilla,random_mixed_runs,5000,64,9,45676,98284
vanilla,random_mixed_runs,5000,64,10,45623,99618
vanilla,random_mixed_runs,5000,64,11,45513,105172
vanilla,random_mixed_runs,5000,64,12,45332,99067
vanilla,random_mixed_runs,5000,64,13,45288,135303
vanilla,random_mixed_runs,5000,64,14,45538,100665
vanilla,random_mixed_runs,5000,64,15,45058,101844
vanilla,random_mixed_runs,5000,64,16,44838,81268
vanilla,random_mixed_runs,5000,64,17,46323,92455
vanilla,random_mixed_runs,5000,64,18,45861,83935
vanilla,random_mixed_runs,5000,64,19,45429,83792
vanilla,random_mixed_runs,5000,64,20,45692,84002
vanilla,random_mixed_runs,5000,64,21,45556,170272
vanilla,random_mixed_runs,5000,64,22,45457,345048
vanilla,random_mixed_runs,5000,64,23,45770,166290
vanilla,random_mixed_runs,5000,64,24,45773,139540
vanilla,random_mixed_runs,5000,64,25,45457,100069
vanilla,random_mixed_runs,5000,64,26,45135,98670
vanilla,random_mixed_runs,5000,64,27,45589,97380
vanilla,random_mixed_runs,5000,64,28,45320,121257
vanilla,random_mixed_runs,5000,64,29,45463,94791
runs,random_mixed_runs,5000,64,0,35145,138025
runs,random_mixed_runs,5000,64,1,34690,67977
runs,random_mixed_runs,5000,64,2,34749,67823
runs,random_mixed_runs,5000,64,3,35095,67999
runs,random_mixed_runs,5000,64,4,35798,69850
runs,random_mixed_runs,5000,64,5,35385,69013
runs,random_mixed_runs,5000,64,6,35133,96300
runs,random_mixed_runs,5000,64,7,34510,79141
runs,random_mixed_runs,5000,64,8,34642,65905
runs,random_mixed_runs,5000,64,9,34631,67161
runs,random_mixed_runs,5000,64,10,35282,68098
runs,random_mixed_runs,5000,64,11,35184,67283
runs,random_mixed_runs,5000,64,12,34675,67349
runs,random_mixed_runs,5000,64,13,34250,66147
runs,random_mixed_runs,5000,64,14,34299,66268
runs,random_mixed_runs,5000,64,15,34344,66313
runs,random_mixed_runs,5000,64,16,34559,66500
runs,random_mixed_runs,5000,64,17,35645,68760
runs,random_mixed_runs,5000,64,18,34798,67668
runs,random_mixed_runs,5000,64,19,34196,65816
runs,random_mixed_runs,5000,64,20,35872,69343
runs,random_mixed_runs,5000,64,21,35446,68870
runs,random_mixed_runs,5000,64,22,35673,69509
runs,random_mixed_runs,5000,64,23,34948,67040
runs,random_mixed_runs,5000,64,24,35983,69641
runs,random_mixed_runs,5000,64,25,34915,67602
runs,random_mixed_runs,5000,64,26,35180,68825
runs,random_mixed_runs,5000,64,27,34685,69189
runs,random_mixed_runs,5000,64,28,34433,57551
runs,random_mixed_runs,5000,64,29,35298,54102
vanilla,full_random,10000,64,0,120915,706593
vanilla,full_random,10000,64,1,120959,623959
vanilla,full_random,10000,64,2,121027,649902
vanilla,full_random,10000,64,3,121015,602799
vanilla,full_random,10000,64,4,121095,619418
vanilla,full_random,10000,64,5,120989,652447
vanilla,full_random,10000,64,6,120947,597718
vanilla,full_random,10000,64,7,120954,679779
vanilla,full_random,10000,64,8,120989,602094
vanilla,full_random,10000,64,9,121021,613059
vanilla,full_random,10000,64,10,121011,665144
vanilla,full_random,10000,64,11,121017,677718
vanilla,full_random,10000,64,12,120926,633194
vanilla,full_random,10000,64,13,120995,632577
vanilla,full_random,10000,64,14,120980,887231
vanilla,full_random,10000,64,15,120955,852284
vanilla,full_random,10000,64,16,121108,614233
vanilla,full_random,10000,64,17,120987,664439
vanilla,full_random,10000,64,18,120938,673123
vanilla,full_random,10000,64,19,121074,658895
vanilla,full_random,10000,64,20,121006,628267
vanilla,full_random,10000,64,21,120906,609147
vanilla,full_random,10000,64,22,120968,568149
vanilla,full_random,10000,64,23,121015,584790
vanilla,full_random,10000,64,24,120963,610337
vanilla,full_random,10000,64,25,120960,571709
